Tranc_YearMonth,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price
2014-01,2 ROOM,63,CIRCUIT RD,04 TO 06,45,Standard,1967,245000
2014-01,3 ROOM,24,BALAM RD,04 TO 06,60,Standard,1967,285000
2014-01,3 ROOM,34,CIRCUIT RD,01 TO 03,60,Standard,1967,285000
2014-01,3 ROOM,19,BALAM RD,07 TO 09,60.3,Standard,1967,300000
2014-01,3 ROOM,63,CIRCUIT RD,04 TO 06,56,Standard,1967,303000
2014-01,3 ROOM,90,C'WEALTH DR,01 TO 03,60,Standard,1967,320000
2014-01,3 ROOM,89,C'WEALTH DR,01 TO 03,69,Standard,1967,348000
2014-01,3 ROOM,81,C'WEALTH CL,07 TO 09,60,Standard,1967,355000
2014-01,2 ROOM,61,LOR 5 TOA PAYOH,04 TO 06,54,Improved,1967,273500
2014-01,3 ROOM,55,STIRLING RD,01 TO 03,87,Terrace,1968,688000
2014-01,2 ROOM,120,LOR 2 TOA PAYOH,04 TO 06,40,Standard,1968,255000
2014-01,3 ROOM,2,UPP ALJUNIED LANE,01 TO 03,57,Standard,1968,293000
2014-01,2 ROOM,120,LOR 2 TOA PAYOH,04 TO 06,45,Standard,1968,295000
2014-01,3 ROOM,53,LOR 5 TOA PAYOH,07 TO 09,68,Improved,1968,344000
2014-01,3 ROOM,119,LOR 1 TOA PAYOH,07 TO 09,65,Improved,1968,360000
2014-01,3 ROOM,22,HAVELOCK RD,04 TO 06,67,Standard,1969,410000
2014-01,3 ROOM,69,CIRCUIT RD,04 TO 06,56,Standard,1969,260000
2014-01,3 ROOM,58,CIRCUIT RD,01 TO 03,55,Standard,1969,283500
2014-01,3 ROOM,61,CIRCUIT RD,01 TO 03,61,Standard,1969,285000
2014-01,3 ROOM,50,CIRCUIT RD,10 TO 12,56,Standard,1969,292000
2014-01,3 ROOM,59,CIRCUIT RD,07 TO 09,60,Standard,1969,295000
2014-01,3 ROOM,48,CIRCUIT RD,04 TO 06,60,Standard,1969,296500
2014-01,3 ROOM,47,LOR 6 TOA PAYOH,10 TO 12,67,Standard,1969,340000
2014-01,2 ROOM,48,LOWER DELTA RD,04 TO 06,43,Standard,1970,267000
2014-01,2 ROOM,48,LOWER DELTA RD,10 TO 12,43,Standard,1970,288000
2014-01,3 ROOM,27,JLN BAHAGIA,01 TO 03,53,Standard,1970,270000
2014-01,2 ROOM,9,JLN BATU,04 TO 06,48,Standard,1970,297000
2014-01,3 ROOM,55,C'WEALTH DR,04 TO 06,56,Standard,1970,340000
2014-01,3 ROOM,97,C'WEALTH CRES,04 TO 06,68,Standard,1970,360000
2014-01,3 ROOM,170,STIRLING RD,01 TO 03,70,Improved,1970,392000
2014-01,3 ROOM,158,MEI LING ST,10 TO 12,66,Improved,1970,397000
2014-01,3 ROOM,12,LOR 7 TOA PAYOH,07 TO 09,66,Improved,1970,322500
2014-01,3 ROOM,116,LOR 2 TOA PAYOH,07 TO 09,63,Improved,1970,360000
2014-01,3 ROOM,116,LOR 2 TOA PAYOH,04 TO 06,63,Improved,1970,360000
2014-01,3 ROOM,116,LOR 2 TOA PAYOH,04 TO 06,72,Improved,1970,390000
2014-01,2 ROOM,46,CIRCUIT RD,04 TO 06,42,Standard,1971,254000
2014-01,3 ROOM,45,CIRCUIT RD,10 TO 12,52,Standard,1971,260000
2014-01,3 ROOM,44,CIRCUIT RD,04 TO 06,52,Standard,1971,288000
2014-01,3 ROOM,44,CIRCUIT RD,07 TO 09,52,Standard,1971,289000
2014-01,3 ROOM,45,CIRCUIT RD,10 TO 12,61,Standard,1971,305000
2014-01,3 ROOM,32,JLN BAHAGIA,07 TO 09,56,Standard,1971,272000
2014-01,3 ROOM,35,JLN BAHAGIA,07 TO 09,56,Standard,1971,298000
