Tranc_YearMonth,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price
2020-01,3 ROOM,37,TEBAN GDNS RD,04 TO 06,67,Improved,1966,220000
2020-01,2 ROOM,28,JLN BT MERAH,10 TO 12,47,Standard,1967,195000
2020-01,3 ROOM,21,BALAM RD,07 TO 09,60.3,Standard,1967,215000
2020-01,3 ROOM,21,BALAM RD,10 TO 12,60.3,Standard,1967,200000
2020-01,3 ROOM,21,BALAM RD,07 TO 09,60.3,Standard,1967,212000
2020-01,3 ROOM,62,CIRCUIT RD,01 TO 03,56,Standard,1967,203000
2020-01,3 ROOM,63,CIRCUIT RD,01 TO 03,56,Standard,1967,219500
2020-01,3 ROOM,87,C'WEALTH CL,04 TO 06,58,Standard,1967,230000
2020-01,3 ROOM,86,C'WEALTH CL,07 TO 09,58,Standard,1967,258000
2020-01,3 ROOM,81,C'WEALTH CL,10 TO 12,60,Standard,1967,305000
2020-01,3 ROOM,90,C'WEALTH DR,10 TO 12,60,Standard,1967,220000
2020-01,3 ROOM,93,C'WEALTH DR,07 TO 09,69,Standard,1967,260000
2020-01,2 ROOM,55,LOR 5 TOA PAYOH,01 TO 03,43,Standard,1967,165000
2020-01,2 ROOM,120,LOR 2 TOA PAYOH,07 TO 09,40,Standard,1968,200000
2020-01,2 ROOM,120,LOR 2 TOA PAYOH,01 TO 03,40,Standard,1968,188000
2020-01,3 ROOM,118,LOR 1 TOA PAYOH,01 TO 03,64,Improved,1968,235000
2020-01,3 ROOM,22,HAVELOCK RD,04 TO 06,67,Standard,1969,330000
2020-01,3 ROOM,28,JLN KLINIK,04 TO 06,58,Standard,1969,311000
2020-01,3 ROOM,28,JLN KLINIK,01 TO 03,58,Standard,1969,265000
2020-01,3 ROOM,30,JLN KLINIK,04 TO 06,58,Standard,1969,300000
2020-01,3 ROOM,47,CIRCUIT RD,04 TO 06,56,Standard,1969,180000
2020-01,3 ROOM,50,CIRCUIT RD,07 TO 09,56,Standard,1969,225000
2020-01,3 ROOM,57,CIRCUIT RD,07 TO 09,56,Standard,1969,195000
2020-01,3 ROOM,93,JLN DUA,07 TO 09,62,Standard,1969,293000
2020-01,3 ROOM,71,LOR 4 TOA PAYOH,04 TO 06,58,Standard,1969,215000
2020-01,2 ROOM,96,C'WEALTH CRES,07 TO 09,47,Standard,1970,185000
2020-01,3 ROOM,102,C'WEALTH CRES,01 TO 03,64,Standard,1970,242000
2020-01,3 ROOM,102,C'WEALTH CRES,01 TO 03,55,Standard,1970,211000
2020-01,3 ROOM,100,C'WEALTH CRES,01 TO 03,59,Standard,1970,288000
2020-01,3 ROOM,158,MEI LING ST,07 TO 09,66,Improved,1970,296800
2020-01,3 ROOM,154,MEI LING ST,13 TO 15,67,Improved,1970,290000
2020-01,3 ROOM,164,STIRLING RD,04 TO 06,66,Improved,1970,276900
2020-01,3 ROOM,165,STIRLING RD,07 TO 09,60,Improved,1970,290000
2020-01,3 ROOM,111,LOR 1 TOA PAYOH,10 TO 12,66,Improved,1970,275000
2020-01,3 ROOM,109,LOR 1 TOA PAYOH,10 TO 12,66,Improved,1970,290000
2020-01,3 ROOM,124,LOR 1 TOA PAYOH,04 TO 06,67,Improved,1970,265000
2020-01,3 ROOM,34,LOR 5 TOA PAYOH,10 TO 12,67,Improved,1970,220000
2020-01,2 ROOM,2,JLN BT HO SWEE,10 TO 12,35,Standard,1971,205000
2020-01,3 ROOM,44,CIRCUIT RD,04 TO 06,52,Standard,1971,205000
2020-01,3 ROOM,35,CIRCUIT RD,01 TO 03,63.1,Standard,1971,200000
2020-01,3 ROOM,43,CIRCUIT RD,04 TO 06,52,Standard,1971,173000
2020-01,3 ROOM,28,JLN BAHAGIA,07 TO 09,56,Standard,1971,215000
2020-01,3 ROOM,28,JLN BAHAGIA,10 TO 12,56,Standard,1971,198000
2020-01,3 ROOM,168,STIRLING RD,04 TO 06,60,Improved,1971,282000
2020-01,3 ROOM,27,TOA PAYOH EAST,01 TO 03,67,Improved,1971,223000
2020-01,3 ROOM,25,TOA PAYOH EAST,07 TO 09,67,Improved,1971,232000
