Tranc_YearMonth,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price
2013-01,3 ROOM,39,TEBAN GDNS RD,01 TO 03,67,Improved,1966,315000
2013-01,2 ROOM,66,CIRCUIT RD,01 TO 03,45,Standard,1967,248000
2013-01,2 ROOM,66,CIRCUIT RD,04 TO 06,45,Standard,1967,255000
2013-01,3 ROOM,34,CIRCUIT RD,10 TO 12,60,Standard,1967,330000
2013-01,3 ROOM,64,CIRCUIT RD,04 TO 06,59,Standard,1967,334000
2013-01,2 ROOM,83,C'WEALTH CL,04 TO 06,46,Standard,1967,269000
2013-01,2 ROOM,81,C'WEALTH CL,07 TO 09,46,Standard,1967,285000
2013-01,3 ROOM,84,C'WEALTH CL,01 TO 03,58,Standard,1967,316000
2013-01,3 ROOM,88,C'WEALTH CL,01 TO 03,58,Standard,1967,326500
2013-01,3 ROOM,82,C'WEALTH CL,01 TO 03,60,Standard,1967,335000
2013-01,3 ROOM,87,C'WEALTH CL,04 TO 06,58,Standard,1967,350000
2013-01,3 ROOM,81,C'WEALTH CL,13 TO 15,60,Standard,1967,365000
2013-01,2 ROOM,120,LOR 2 TOA PAYOH,04 TO 06,40,Standard,1968,274000
2013-01,3 ROOM,2,UPP ALJUNIED LANE,07 TO 09,57,Standard,1968,308000
2013-01,3 ROOM,53,LOR 5 TOA PAYOH,01 TO 03,68,Improved,1968,354500
2013-01,2 ROOM,28,JLN KLINIK,01 TO 03,49,Standard,1969,305000
2013-01,3 ROOM,37,JLN RUMAH TINGGI,04 TO 06,53,Standard,1969,308000
2013-01,3 ROOM,22,HAVELOCK RD,04 TO 06,64,Standard,1969,407000
2013-01,3 ROOM,28,JLN KLINIK,04 TO 06,58,Standard,1969,413000
2013-01,3 ROOM,47,CIRCUIT RD,07 TO 09,56,Standard,1969,294000
2013-01,3 ROOM,48,CIRCUIT RD,04 TO 06,60,Standard,1969,297000
2013-01,3 ROOM,57,CIRCUIT RD,01 TO 03,56,Standard,1969,303000
2013-01,3 ROOM,59,CIRCUIT RD,01 TO 03,59,Standard,1969,315000
2013-01,3 ROOM,57,CIRCUIT RD,10 TO 12,56,Standard,1969,319000
2013-01,3 ROOM,99,OLD AIRPORT RD,04 TO 06,56,Standard,1969,350000
