Tranc_YearMonth,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price
2015-01,3 ROOM,20,BALAM RD,04 TO 06,60.3,Standard,1967,275000
2015-01,3 ROOM,23,BALAM RD,07 TO 09,60.3,Standard,1967,282000
2015-01,3 ROOM,83,C'WEALTH CL,04 TO 06,60,Standard,1967,310000
2015-01,3 ROOM,95,C'WEALTH DR,04 TO 06,68,Standard,1967,335000
2015-01,3 ROOM,93,C'WEALTH DR,04 TO 06,60,Standard,1967,350000
2015-01,3 ROOM,113,LOR 1 TOA PAYOH,01 TO 03,64,Improved,1967,288000
2015-01,3 ROOM,110,LOR 1 TOA PAYOH,01 TO 03,65,Improved,1967,300000
2015-01,3 ROOM,114,LOR 1 TOA PAYOH,04 TO 06,65,Improved,1967,317000
2015-01,3 ROOM,82,MACPHERSON LANE,01 TO 03,61,Standard,1968,210000
2015-01,2 ROOM,120,LOR 2 TOA PAYOH,01 TO 03,38,Standard,1968,248000
2015-01,3 ROOM,4,UPP ALJUNIED LANE,07 TO 09,57,Standard,1968,285000
2015-01,3 ROOM,118,LOR 1 TOA PAYOH,04 TO 06,65,Improved,1968,338000
2015-01,2 ROOM,28,JLN KLINIK,10 TO 12,49,Standard,1969,280000
2015-01,3 ROOM,26,JLN KLINIK,04 TO 06,60,Standard,1969,363000
2015-01,3 ROOM,58,CIRCUIT RD,04 TO 06,56,Standard,1969,258000
2015-01,3 ROOM,61,CIRCUIT RD,01 TO 03,61,Standard,1969,270000
2015-01,4 ROOM,67,CIRCUIT RD,01 TO 03,122,Adjoined flat,1969,575000
2015-01,3 ROOM,4,JLN BATU,04 TO 06,60,Standard,1969,320000
2015-01,3 ROOM,6,JLN BATU,04 TO 06,60,Standard,1969,370000
2015-01,3 ROOM,3,LOR 7 TOA PAYOH,01 TO 03,68,Improved,1969,305000
2015-01,2 ROOM,48,LOWER DELTA RD,10 TO 12,42,Standard,1970,280000
2015-01,3 ROOM,107,JLN BT MERAH,10 TO 12,63,Standard,1970,355000
2015-01,3 ROOM,166,STIRLING RD,01 TO 03,60,Improved,1970,305000
2015-01,3 ROOM,97,C'WEALTH CRES,07 TO 09,59,Standard,1970,313000
2015-01,3 ROOM,98,C'WEALTH CRES,07 TO 09,68,Standard,1970,350000
2015-01,3 ROOM,163,STIRLING RD,07 TO 09,66,Improved,1970,350000
2015-01,3 ROOM,161,MEI LING ST,19 TO 21,72,Improved,1970,460000
2015-01,3 ROOM,38,LOR 5 TOA PAYOH,04 TO 06,67,Improved,1970,303000
2015-01,3 ROOM,108,LOR 1 TOA PAYOH,01 TO 03,66,Improved,1970,310000
2015-01,3 ROOM,96,LOR 3 TOA PAYOH,01 TO 03,68,Improved,1970,320000
2015-01,3 ROOM,23,TOA PAYOH EAST,07 TO 09,67,Improved,1970,336333
2015-01,3 ROOM,123,LOR 1 TOA PAYOH,04 TO 06,67,Improved,1970,344000
