Tranc_YearMonth,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price
2018-01,3 ROOM,38,TEBAN GDNS RD,01 TO 03,67,Improved,1966,235000
2018-01,3 ROOM,28,HOY FATT RD,10 TO 12,60,Standard,1967,280000
2018-01,3 ROOM,90,C'WEALTH DR,01 TO 03,60,Standard,1967,250000
2018-01,3 ROOM,86,C'WEALTH CL,01 TO 03,58,Standard,1967,270000
2018-01,3 ROOM,81,C'WEALTH CL,01 TO 03,60,Standard,1967,283000
2018-01,3 ROOM,84,C'WEALTH CL,10 TO 12,69,Standard,1967,320000
2018-01,3 ROOM,89,C'WEALTH DR,07 TO 09,69,Standard,1967,320000
2018-01,3 ROOM,110,LOR 1 TOA PAYOH,10 TO 12,65,Improved,1967,280000
2018-01,2 ROOM,81,MACPHERSON LANE,01 TO 03,50,Standard,1968,210000
2018-01,3 ROOM,18,TAMAN HO SWEE,01 TO 03,54,Standard,1970,310000
2018-01,4 ROOM,101,HENDERSON CRES,01 TO 03,74,Standard,1970,390000
2018-01,3 ROOM,111,HO CHING RD,01 TO 03,67,Improved,1970,227000
2018-01,3 ROOM,34,JLN BAHAGIA,07 TO 09,56,Standard,1970,265000
2018-01,2 ROOM,100,C'WEALTH CRES,01 TO 03,47,Standard,1970,190000
2018-01,3 ROOM,98,C'WEALTH CRES,04 TO 06,59,Standard,1970,243000
2018-01,3 ROOM,116,LOR 2 TOA PAYOH,01 TO 03,63,Improved,1970,240000
2018-01,3 ROOM,124,LOR 1 TOA PAYOH,04 TO 06,67,Improved,1970,250000
2018-01,3 ROOM,12,LOR 7 TOA PAYOH,01 TO 03,66,Improved,1970,255000
2018-01,3 ROOM,116,LOR 2 TOA PAYOH,10 TO 12,63,Improved,1970,285000
2018-01,3 ROOM,128,LOR 1 TOA PAYOH,13 TO 15,67,Improved,1970,295000
2018-01,2 ROOM,2,JLN BT HO SWEE,07 TO 09,34,Standard,1971,208000
2018-01,3 ROOM,8,JLN BT HO SWEE,01 TO 03,55,Standard,1971,303000
2018-01,3 ROOM,24,BEO CRES,01 TO 03,59,Standard,1971,320000
2018-01,3 ROOM,36,BEO CRES,04 TO 06,59,Standard,1971,328000
2018-01,2 ROOM,8,JLN KUKOH,10 TO 12,53,Improved,1971,250000
2018-01,3 ROOM,44,CIRCUIT RD,10 TO 12,52,Standard,1971,225000
2018-01,3 ROOM,27,TOA PAYOH EAST,01 TO 03,67,Improved,1971,258800
2018-01,3 ROOM,17,LOR 7 TOA PAYOH,19 TO 21,67,Improved,1971,275000
2018-01,3 ROOM,157,LOR 1 TOA PAYOH,04 TO 06,67,Improved,1971,310000
2018-01,3 ROOM,157,LOR 1 TOA PAYOH,01 TO 03,67,Improved,1971,315000
2018-01,3 ROOM,119,HO CHING RD,01 TO 03,67,Improved,1972,220000
2018-01,3 ROOM,119,HO CHING RD,10 TO 12,67,Improved,1972,220000
2018-01,3 ROOM,119,HO CHING RD,01 TO 03,67,Improved,1972,222000
2018-01,3 ROOM,120,HO CHING RD,04 TO 06,76,Improved,1972,240000
2018-01,3 ROOM,45,BENDEMEER RD,01 TO 03,77,Improved,1972,290000
2018-01,3 ROOM,63,JLN MA'MOR,01 TO 03,116,Terrace,1972,788000
2018-01,3 ROOM,173,LOR 1 TOA PAYOH,01 TO 03,66,Improved,1972,255000
2018-01,3 ROOM,30,BALAM RD,04 TO 06,57,Standard,1973,286000
2018-01,3 ROOM,76,LOR LIMAU,07 TO 09,65,Improved,1973,250000
2018-01,3 ROOM,77,LOR LIMAU,16 TO 18,59,Improved,1973,255000
2018-01,3 ROOM,195,KIM KEAT AVE,01 TO 03,66,Improved,1973,230000
2018-01,3 ROOM,195,KIM KEAT AVE,04 TO 06,66,Improved,1973,230000
2018-01,3 ROOM,194,KIM KEAT AVE,07 TO 09,66,Improved,1973,238000
2018-01,3 ROOM,207,TOA PAYOH NTH,07 TO 09,65,Improved,1973,275000
2018-01,3 ROOM,207,TOA PAYOH NTH,07 TO 09,65,Improved,1973,285000
2018-01,4 ROOM,208,TOA PAYOH NTH,01 TO 03,81,Improved,1973,362000
2018-01,4 ROOM,201,TOA PAYOH NTH,04 TO 06,87,Improved,1973,368000
2018-01,3 ROOM,9,SELEGIE RD,07 TO 09,58,Standard,1974,350000
2018-01,3 ROOM,9,SELEGIE RD,13 TO 15,56,Standard,1974,358000
2018-01,3 ROOM,98,WHAMPOA DR,07 TO 09,65,Improved,1974,300000
2018-01,3 ROOM,57,GEYLANG BAHRU,10 TO 12,65,Improved,1974,331000
2018-01,3 ROOM,11,UPP BOON KENG RD,13 TO 15,65,Improved,1974,359000
2018-01,5 ROOM,53,GEYLANG BAHRU,04 TO 06,120,Standard,1974,585000
2018-01,5 ROOM,54,GEYLANG BAHRU,22 TO 24,117,Standard,1974,618000
2018-01,5 ROOM,55,GEYLANG BAHRU,19 TO 21,117,Standard,1974,635000
2018-01,4 ROOM,168A,QUEENSWAY,19 TO 21,84,Improved,1974,445000
2018-01,4 ROOM,6,HOLLAND CL,07 TO 09,86,Improved,1974,530000
2018-01,4 ROOM,191,LOR 4 TOA PAYOH,07 TO 09,84,Improved,1974,468000
2018-01,3 ROOM,2,MARSILING DR,10 TO 12,65,Improved,1974,222000
2018-01,3 ROOM,2,MARSILING DR,01 TO 03,76,Improved,1974,230000
2018-01,3 ROOM,2,MARSILING DR,07 TO 09,65,Improved,1974,240000
2018-01,3 ROOM,12,TELOK BLANGAH CRES,01 TO 03,59,Improved,1975,248000
2018-01,3 ROOM,136,JLN BT MERAH,04 TO 06,59,Improved,1975,300000
2018-01,3 ROOM,12,TELOK BLANGAH CRES,07 TO 09,59,Improved,1975,335000
2018-01,4 ROOM,15,HOUGANG AVE 3,04 TO 06,82,Improved,1975,318000
2018-01,3 ROOM,16,UPP BOON KENG RD,10 TO 12,65,Improved,1975,345000
2018-01,3 ROOM,16,UPP BOON KENG RD,10 TO 12,65,Improved,1975,368000
2018-01,4 ROOM,17,BEACH RD,16 TO 18,77,Improved,1975,480000
2018-01,3 ROOM,57,MARINE TER,04 TO 06,65,Improved,1975,330000
2018-01,3 ROOM,7,MARINE TER,10 TO 12,59,Improved,1975,375000
2018-01,3 ROOM,35,MARINE CRES,10 TO 12,70,Improved,1975,380000
2018-01,3 ROOM,31,MARINE CRES,07 TO 09,65,Improved,1975,390000
2018-01,3 ROOM,19,MARINE TER,04 TO 06,76,Improved,1975,400000
2018-01,3 ROOM,31,MARINE CRES,04 TO 06,65,Improved,1975,407000
2018-01,5 ROOM,43,MARINE CRES,25 TO 27,122,Standard,1975,855000
2018-01,5 ROOM,12,MARINE TER,16 TO 18,120,Standard,1975,868888
2018-01,3 ROOM,1,DOVER RD,10 TO 12,65,Improved,1975,350000
2018-01,3 ROOM,13,HOLLAND DR,07 TO 09,65,Improved,1975,380000
2018-01,3 ROOM,11,HOLLAND DR,01 TO 03,65,Improved,1975,420000
2018-01,5 ROOM,20,HOLLAND DR,10 TO 12,117,Standard,1975,720000
2018-01,4 ROOM,207,ANG MO KIO AVE 1,04 TO 06,98,New Generation,1976,438000
2018-01,3 ROOM,3,BEDOK STH AVE 1,04 TO 06,59,Improved,1976,265000
2018-01,3 ROOM,2,BEDOK STH AVE 1,01 TO 03,65,Improved,1976,285000
2018-01,3 ROOM,2,BEDOK STH AVE 1,07 TO 09,65,Improved,1976,290000
2018-01,5 ROOM,21,BEDOK STH RD,07 TO 09,117,Standard,1976,615000
2018-01,5 ROOM,19,BEDOK STH RD,16 TO 18,117,Standard,1976,719888
2018-01,2 ROOM,45,TELOK BLANGAH DR,04 TO 06,45,Improved,1976,240000
2018-01,3 ROOM,43,TELOK BLANGAH RISE,10 TO 12,59,Improved,1976,275000
2018-01,3 ROOM,33,TELOK BLANGAH WAY,04 TO 06,59,Improved,1976,283000
2018-01,3 ROOM,211,BOON LAY PL,13 TO 15,65,Improved,1976,258000
2018-01,3 ROOM,211,BOON LAY PL,07 TO 09,74,Improved,1976,272000
2018-01,3 ROOM,208,BOON LAY PL,22 TO 24,65,Improved,1976,273000
2018-01,3 ROOM,1,GHIM MOH RD,13 TO 15,65,Improved,1976,310000
2018-01,3 ROOM,5,GHIM MOH RD,07 TO 09,65,Improved,1976,325000
2018-01,3 ROOM,232,LOR 8 TOA PAYOH,07 TO 09,65,Improved,1976,265000
2018-01,4 ROOM,227,LOR 8 TOA PAYOH,07 TO 09,82,Improved,1976,332000
2018-01,4 ROOM,227,LOR 8 TOA PAYOH,10 TO 12,82,Improved,1976,345000
2018-01,3 ROOM,13,MARSILING LANE,10 TO 12,65,Improved,1976,240000
2018-02,3 ROOM,63,CIRCUIT RD,07 TO 09,56,Standard,1967,240000
2018-02,2 ROOM,82,C'WEALTH CL,04 TO 06,46,Standard,1967,205000
2018-02,2 ROOM,83,C'WEALTH CL,01 TO 03,46,Standard,1967,210000
2018-02,3 ROOM,85,C'WEALTH CL,01 TO 03,58,Standard,1967,298000
2018-02,3 ROOM,84,C'WEALTH CL,04 TO 06,58,Standard,1967,320000
2018-02,3 ROOM,115,LOR 1 TOA PAYOH,01 TO 03,65,Improved,1967,255000
2018-02,3 ROOM,114,LOR 1 TOA PAYOH,04 TO 06,65,Improved,1967,281000
2018-02,3 ROOM,114,LOR 1 TOA PAYOH,07 TO 09,65,Improved,1967,288000
2018-02,3 ROOM,37,JLN RUMAH TINGGI,04 TO 06,53,Standard,1969,205800
2018-02,3 ROOM,22,HAVELOCK RD,10 TO 12,64,Standard,1969,392000
2018-02,3 ROOM,47,CIRCUIT RD,07 TO 09,56,Standard,1969,230000
2018-02,3 ROOM,48,CIRCUIT RD,01 TO 03,59,Standard,1969,248000
